_,Name,Start Date,Due Date,Assignee,Project,Subs
Yes,"DSCI100 Reading 2 ","September 13, 2021",,,,
Yes,121 Prelab,"September 14, 2021",,,,
Yes,Email Sarah and ask about tracking the packages,"September 14, 2021",,,,
Yes,Go over the 221 video,"September 14, 2021",,,,
Yes,"STAT302 Webwork, get it done","September 16, 2021",,,,
Yes,DSCI100 Do the worksheet #2,"September 17, 2021",,,,
Yes,"STAT302 Sections: 2.5, 3.1, 3.2","September 17, 2021",,,,
Yes,"MATH307 Matrix norm, condition number, relative errors","September 17, 2021",,,,
Yes,Register to vote,"September 18, 2021",,,,
Yes,Look at https://www.facebook.com/groups/119194305267824/permalink/1242415829612327/,"September 18, 2021",,,,
Yes,Sort out eating and meals → generate a meal plan,"September 18, 2021",,,,
Yes,Buy things from Amazon,"September 18, 2021",,,,
Yes,Select 1 thing to do extra: ml poker fs E-Board,"September 18, 2021",,,,
Yes,307: find + read the next level of material,"September 19, 2021",,,,
Yes,121: quiz 2,"September 19, 2021",,,,
Yes,"221: Finish as much of HW1 as possible ","September 19, 2021",,,,
Yes,221 go over previous lectures from this week,"September 19, 2021",,,,
Yes,Read chapter 2.2 and take notes,"September 19, 2021",,,,
Yes,Find time to call James in the next week,"September 19, 2021",,,,
Yes,Go over the 221 lecture from last week (selection sort),"September 20, 2021",,,,
Yes,121 Prelab 2,"September 20, 2021",,,,
Yes,"look at buying poker tracker ","September 20, 2021",,,,
Yes,register for upswing,"September 20, 2021",,,,
Yes,DSCI100 Reading 03,"September 20, 2021",,,,
Yes,"Go through 221 Examlet Practice ","September 21, 2021",,,,
Yes,"Go through the 307 example of interpolation ","September 21, 2021",,,,
Yes,Throw money into questrade,"September 21, 2021",,,,
Yes,"221 Video ","September 22, 2021",,,,
Yes,Review for stat302 quiz on friday,"September 22, 2021",,,,
Yes,Grind some poker,"September 22, 2021",,,,
Yes,look at resetting surface so I can start again,"September 23, 2021",,,,
Yes,CS121 Reading for the Quiz (section 2.5 + the links),"September 23, 2021",,,,
Yes,"MATH307 HW1 Opens today, prolly do that","September 23, 2021",,,,
Yes,DSCI100 Lecture worksheet,"September 24, 2021",,,,
Yes,"Eat egg, pork, potatoes + yoghurt for breakfast.","September 24, 2021",,,,
Yes,Put poker plans for next week. Include the short deck math section,"September 24, 2021",,,,
Yes,"STAT302: 3.3, 3.4","September 24, 2021",,,,
Yes,MATH307: cubic spline interpolation,"September 24, 2021",,,,
Yes,Fill out the application to SCI,"September 24, 2021",,,,
Yes,Update resume with NSERC things from the summer,"September 24, 2021",,,,
Yes,Look into the 221 debug lab,"September 25, 2021",,,,
Yes,"302: Grind the recommended problems for chapters 1 & 2 ","September 25, 2021",,,,
Yes,"307: Ordinary differential equations, boundary value problems, finite difference method","September 27, 2021",,,,
Yes,121: Quiz A & B,"September 27, 2021",,,,
Yes,"302: Grind Chapter 3 recommended problems ","September 27, 2021",,,,
Yes,"DSCI100 - Reading #4 ","September 27, 2021",,,,
Yes,Math307: Python Assignment 1,"September 28, 2021",,,,
Yes,DSCI100 Tutorial set,"September 28, 2021",,,,
Yes,Jump into the first appointment formula for Campbell,"September 28, 2021",,,,
Yes,Go though 221 video lecture,"September 29, 2021",,,,
Yes,create a stat 302 practice problem list and plan out studying,"September 29, 2021",,,,
Yes,Find practice material for CPSC121 and MATH 307 midterms on the 13th of Oct,"September 29, 2021",,,,
Yes,Look into programing asingment 1 for 221,"September 30, 2021",,,,
Yes,Get study material for next week sorted,"September 30, 2021",,,,
Yes,Tasktop,"October 2, 2021",,,,
Yes,STAT302: 4.1 to 4.3,"October 2, 2021",,,,
Yes,"MATH307: Subspaces, linear independence, span, dimension, inner product, orthogonal sub-spaces, orthogonal complement, null space and range of a matrix, orthogonality relations of fundamental subspaces of a matrix","October 2, 2021",,,,
Yes,Stat 302 Practice problems for chapters 1-3,"October 2, 2021",,,,
Yes,Do the DSCI100 Lecture worksheet,"October 4, 2021",,,,
Yes,121 Assignment 1,"October 5, 2021",,,,
Yes,Go through the 221 examlet review,"October 5, 2021",,,,
Yes,Grind Practice problems for 302,"October 5, 2021",,,,
Yes,Find chapters I need to review,"October 6, 2021",,,,
Yes,221: Read and take notes on this week's slides,"October 7, 2021",,,,
Yes,MATH307: Homework 2 attempt 1,"October 8, 2021",,,,
Yes,"Look at bird VPN password manager ","October 9, 2021",,,,
Yes,Go over Chapter 2,"October 10, 2021",,,,
Yes,Organise a study time for guys > forest after sundown???,"October 10, 2021",,,,
Yes,121 Quiz A,"October 10, 2021",,,,
Yes,"CPSC1212 Read: Epp, 4th/5th edition: 3.1, 3.3.","October 10, 2021",,,,
Yes,Look at DSCI100 practice questions,"October 10, 2021",,,,
Yes,"302: WW2 Look at first question ","October 11, 2021",,,,
Yes,221: read and take notes on upcoming week of slides,"October 11, 2021",,,,
Yes,121 practice midterms,"October 11, 2021",,,,
Yes,STAT302: Look at Webwork 2,"October 11, 2021",,,,
Yes,"307: Do some of the recommended exercises for interpolation ","October 11, 2021",,,,
Yes,"Go over the last parts of 307 before the midterm ","October 12, 2021",,,,
Yes,Grind the CPSC221 PA1,"October 13, 2021",,,,
Yes,Find what needs to be studied for next week,"October 14, 2021",,,,
Yes,Finish the DSCI100 worksheet w/ the answers,"October 14, 2021",,,,
Yes,Put my Goals into the document,"October 14, 2021",,,,
Yes,221: Grind the PA1,"October 14, 2021",,,,
Yes,Go though 2021 Data w/ VBA script,"October 14, 2021",,,,
Yes,Chapter 3 study + Quizlet,"October 14, 2021",,,,
Yes,"Ask around the lit groups for two presentations ","October 15, 2021",,,,
Yes,Give out roles for what people can summarize on for ch 3,"October 15, 2021",,,,
Yes,Text Sebastian about things - lit & condolences,"October 15, 2021",,,,
Yes,STAT302 HW2,"October 15, 2021",,,,
Yes,302 Read: 4.7 to 4.9,"October 15, 2021",,,,
Yes,PA1 221,"October 16, 2021",,,,
Yes,"Pick one of the essays and write a summary of it on the doc, then text the gc to get people to do the other ones","October 16, 2021",,,,
Yes,Laundry,"October 16, 2021",,,,
Yes,Look at homework 2 for 221,"October 16, 2021",,,,
Yes,121 Study: 6.1 up to (but not including) the part titled Partition of Sets.,"October 17, 2021",,,,
Yes,"121 Quiz A ","October 17, 2021",,,,
Yes,"Fix overlap delays, get my estimate number when there is overlap, if my_total < sum(all valid delays) then use the sum","October 17, 2021",,,,
Yes,Cook breakfasts for livin,"October 17, 2021",,,,
Yes,Get all stuff together for live in,"October 17, 2021",,,,
Yes,Filter for only Covid Family Medical Responsibilities,"October 17, 2021",,,,
Yes,221 Examlet practice,"October 18, 2021","October 22, 2021",,,
Yes,Ch 4 Quizlet,"October 18, 2021",,,,
Yes,Check if Seb is ok,"October 18, 2021",,,,
Yes,Ch3 Quizlet,"October 18, 2021",,,,
Yes,First part of dsci100 tutorial,"October 19, 2021","October 21, 2021",,,
Yes,307 PA2: Q1,"October 19, 2021","October 22, 2021",,,
Yes,121 prelab,"October 19, 2021",,,,
Yes,Look at 221 Slides & Take Notes for week 7,"October 19, 2021",,,,
Yes,Sort through all other delay types for family medical,"October 19, 2021",,,,
Yes,Sarah BILAT: 9AM ask about the scope of the delays she wants changed: Only Covid FAMILY or also covid Medical?,"October 19, 2021",,,,
Yes,"307 Read: Orthogonal projection, Gram-Schmidt algorithm, projection matrices, Projection Theorem, orthogonal matrices, QR de-composition by Gram-Schmidt algorithm, QR decomposition by elementary reflectors","October 19, 2021",,,,
Yes,"307: Least squares approximation, solution by normal equations and QR decomposition, fitting models to data","October 20, 2021",,,,
Yes,100: Lecture sheet,"October 23, 2021","October 23, 2021",,,
Yes,Look into what needs to be done for upcoming week,"October 23, 2021",,,,
Yes,121 Quiz 7,"October 24, 2021","October 25, 2021",,,
Yes,Look into DSCI100 due dates,"October 24, 2021",,,,
Yes,Read through all of chapter 5 & 6 → highlight important parts,"October 24, 2021",,,,
Yes,Look into library booking → set an alarm,"October 24, 2021",,,,
Yes,Add midterms and exams to Notion,"October 25, 2021",,,,
Yes,Find a lecture hall to use on Wednesday for studying,"October 25, 2021",,,,
Yes,Make Chapter 5 & 6 Quizlets,"October 25, 2021",,,,
Yes,221: Go over slides for week 7 & 8,"October 26, 2021",,,,
Yes,Call the vaccine people,"October 26, 2021",,,,
Yes,"Go and take notes on all previous weeks (W1,2,3,5) of 221 slides ","October 26, 2021",,,,
Yes,MATH307 HW3: Q1,"October 28, 2021","October 29, 2021",,,
Yes,Post study times to FB,"October 28, 2021",,,,
Yes,Send out academic support messages and ask if anyone is willing to give me their CWL so I can make bookings for library spaces,"October 28, 2021",,,,
Yes,See if I got an email about returning → follow up,"October 28, 2021",,,,
Yes,Book plane tickets,"October 28, 2021",,,,
Yes,302: 6.4,"October 28, 2021",,,,
Yes,Send email to SC about returning equipment → or send direct to that guy?,"October 30, 2021",,,,
Yes,do quick analysis on duration ranges to see what bucket's to construct,"October 30, 2021",,,,
Yes,look at campbell training slides,"October 30, 2021",,,,
Yes,Go through and look at 'missing' delays,"October 30, 2021",,,,
Yes,Look into Anki → set up an ADP account for syncing??,"October 31, 2021",,,,
Yes,121 Material for the Quiz,"October 31, 2021",,,,
Yes,"302: 5.1, 5.2, 5.3","October 31, 2021",,,,
Yes,221 Week 9 Material,"October 31, 2021",,,,
Yes,"307: Eigenvalues and eigenvectors, characteristic polynomial, diagonalization, symmetric matrices, orthogonal diagonalization, Spectral Theorem","October 31, 2021",,,,
Yes,Check in with people about the quizzes,"November 1, 2021",,,,
Yes,Book library session w/ Duy's thing for late on tuesday,"November 2, 2021",,,,
Yes,Look over next few assignments to see what's up,"November 2, 2021",,,,
Yes,Text Adam about house. Pay the house fee,"November 2, 2021",,,,
Yes,Make sure to book rooms for Tuesday,"November 2, 2021",,,,
Yes,Look though and find 3 actives and 3 alumni to send emails to → send the emails,"November 2, 2021",,,,
Yes,"Write & send the email for one or two Alumni ","November 3, 2021",,,,
Yes,find times to schedule coffee chats → send emails,"November 3, 2021",,,,
Yes,Get international delay policy information → make it presentable → send to Sarah,"November 4, 2021",,,,
Yes,"Look into pay roll things ","November 4, 2021",,,,
Yes,Pay res fees,"November 5, 2021",,,,
Yes,"221 Previous week's material ","November 7, 2021",,,,
Yes,"307: Singular value decomposition, statement and proof, corollaries and examples","November 7, 2021",,,,
Yes,"302: 5.5, 5.5.1, 5.4","November 7, 2021",,,,
Yes,221 Video lectures for the week,"November 9, 2021",,,,
Yes,"100 Go over slides ","November 10, 2021",,,,
Yes,121 go over notes + text book examples,"November 10, 2021",,,,
Yes,Send emails to actives again,"November 10, 2021",,,,
Yes,Find study material for CPSC121 and MATH307 midterms on nov 17th,"November 10, 2021",,,,
Yes,"302-integration review ","November 11, 2021",,,,
Yes,Make Facebook post,"November 11, 2021",,,,
Yes,"121 Review: Regex & Circuits (the complex pieces) ","November 11, 2021",,,,
Yes,Read through chapter quizlets,"November 11, 2021",,,,
Yes,"121 Go over solutions to 2020 Practice Midterm ","November 11, 2021",,,,
Yes,grind ethan's practice exam,"November 11, 2021",,,,
Yes,"write up summaries of essays ","November 11, 2021",,,,
Yes,Text Ahmed about essay questions → song lyrics? History? Opinion prices? Related to ch 7?,"November 12, 2021",,,,
Yes,Reach out to everyone to see if they have 221 assingments and lab,"November 12, 2021",,,,
Yes,Send out text messages to actives to get coffee chats in,"November 12, 2021",,,,
Yes,100 Quiz 2 example,"November 12, 2021",,,,
Yes,"Email thanks to Ryan, Angus award 2005-2006??","November 13, 2021",,,,
Yes,DSCI100 → Go through relevant tutorials and worksheets again,"November 13, 2021",,,,
Yes,"121 Practice midterm 2019 → go over solutions ","November 13, 2021",,,,
Yes,302 go over notes + text book examples | ch 5-3 onwards,"November 13, 2021",,,,
Yes,ADP Write paragraphs for people,"November 14, 2021",,,,
Yes,"ADP: go through missed questions ","November 14, 2021",,,,
Yes,Message all pledge bros about how they feel,"November 14, 2021",,,,
Yes,DSCI100 make sure you understand how to use git hub here,"November 14, 2021",,,,
Yes,"121 Quiz material ","November 14, 2021",,,,
Yes,"Text Julia Kim ","November 15, 2021",,,,
Yes,"Text Amanda ","November 15, 2021",,,,
Yes,Memorise: Awards,"November 15, 2021",,,,
Yes,"307: FIND MT1 Solutions, Go over Midterm #1 and see what went wrong","November 15, 2021",,,,
Yes,307 - go over lectures (Nov 3),"November 15, 2021",,,,
Yes,307 - practice exam,"November 15, 2021",,,,
Yes,100: Tutorial Sheet,"November 16, 2021","November 18, 2021 3:30 PM (PST)",,,
Yes,221:  find out what double hashing is,"November 18, 2021",,,,
Yes,302 7.5 7.7,"November 18, 2021",,,,
Yes,Vaccination record for NSERC,"November 18, 2021",,,,
Yes,Send email to the guys about the equipment,"November 18, 2021",,,,
Yes,Go through and check budget,"November 18, 2021",,,,
Yes,"302 Go through problems Q 6,7,&8 on the finals","November 18, 2021",,,,
Yes,Create covid filters (just the ones that don't have non covid equivalent)  → make verification thing (could use COUNTIFS()>0) → Go through the remaining words,"November 18, 2021",,,,
Yes,100: worksheet,"November 19, 2021","November 20, 2021",,,
Yes,Book comsci221 exam before Dec-17-12pm,"November 22, 2021",,,,
Yes,send meeting invt to Sarah for the tutorial on VBA script,"November 23, 2021",,,,
Yes,send invite for presentation on second,"November 23, 2021",,,,
Yes,100 find when make up quiz is,"November 23, 2021",,,,
Yes,DSCI100 previous worksheet,"November 25, 2021",,,,
Yes,221 Lab Hash,"November 28, 2021","November 28, 2021",,,
Yes,"121 Quiz ","November 28, 2021","November 29, 2021",,,
Yes,Write email to math307 people and send at 8 am,"November 28, 2021",,,,
Yes,Write goals for upcoming (write in form of todo items),"November 28, 2021",,,,
Yes,Presentation on VBA script for tuesday,"November 30, 2021","November 30, 2021",,,
Yes,121 Prelab,"November 30, 2021","December 1, 2021",,,
Yes,Send meeting invite for exit interview,"November 30, 2021",,,,
Yes,TED Food move → apply for it,"November 30, 2021",,,,
Yes,"Go and take suit to dry cleaners → ask Jackson again? ","November 30, 2021",,,,
Yes,Send text to dsci100 people,"November 30, 2021",,,,
Yes,look and send email about work schedule during exam season,"November 30, 2021",,,,
Yes,Look at EG sheets for 2021,"November 30, 2021",,,,
Yes,Make sure email sent,"December 1, 2021",,,,
Yes,Look into introduction of project,"December 1, 2021",,,,
Yes,Send email to people for EG sheets,"December 1, 2021",,,,
Yes,Submit leave of absence through My GCHR,"December 1, 2021",,,,
Yes,Sort out NSERC emails,"December 2, 2021",,,,
Yes,302 8.4 8.5,"December 2, 2021",,,,
Yes,Start stat302 ww w/ Ahnaf,"December 4, 2021",,,,
Yes,Do the Xaipe registration,"December 6, 2021",,,,
Yes,121 Lab 7,"December 6, 2021",,,,
Yes,Add the VBA showcase to the team meeting doc,"December 7, 2021",,,,
Yes,307 HW5,"December 8, 2021","December 8, 2021",,,
Yes,"221 PA3 ","December 8, 2021","December 10, 2021",,,
Yes,Find all the study material and add it into the clendar,"December 8, 2021",,,,
Yes,307: Frequency & Convolution,"December 8, 2021",,,,
Yes,221 HW3 - Check over answers with someone? or Just submit and hope,"December 11, 2021","December 10, 2021",,,
Yes,307: go though 221 notes for lin alg,"December 11, 2021",,,,
Yes,Ask mum when we'll be in Ottawa,"December 11, 2021",,,,
Yes,307: Practice final (first go over both midterms and look through answers for what they're looking for),"December 11, 2021",,,,
Yes,307: Create Formula Sheet while going over all notes,"December 11, 2021",,,,
Yes,302: Create formula sheet while reviewing all notes,"December 11, 2021",,,,
Yes,302: Practice finals 700 7PM 11AM,"December 11, 2021",,,,
Yes,302 - Lectures on moment generating fuctions,"December 11, 2021",,,,
Yes,307 Lectures since 12th,"December 11, 2021",,,,
Yes,302 EXAM,"December 12, 2021","December 12, 2021",,,
Yes,221 Lectures since Nov 29th,"December 12, 2021",,,,
Yes,Get the gift card for food,"December 13, 2021",,,,
Yes,"221 Review questions from all sections ","December 13, 2021",,,,
Yes,307 EXAM,"December 14, 2021","December 14, 2021",,,
Yes,221 EXAM,"December 15, 2021","December 15, 2021",,,
Yes,100 EXAM,"December 15, 2021","December 15, 2021",,,
Yes,121 EXAM,"December 21, 2021","December 21, 2021",,,
Yes,121 Figure out study times,"December 21, 2021",,,,
Yes,Pay Jan res fees,"December 27, 2021",,,,
Yes,"Do budget things ","December 27, 2021",,,,
Yes,See what's needs to be done for Whistler,"December 28, 2021",,,,
Yes,Go shopping for boots and gloves,"January 3, 2022",,,,
Yes,Look at skis on plane,"January 4, 2022",,,,
Yes,"Take plane ticket money out of savings ","January 4, 2022",,,,
Yes,"Winter Classic tickets ","January 4, 2022",,,,
Yes,Switch courses?,"January 4, 2022",,,,
Yes,Get plane ticket money from mum and plug all that into the spreadsheet and RBC,"January 5, 2022",,,,
Yes,"Uninstall waste of time apps: insta, youtube, tiktok - Look at books on phone ","January 5, 2022",,,,
Yes,Get Skis??,"January 6, 2022",,,,
Yes,create reading list NOTION,"January 10, 2022",,,,
Yes,Start figuring out what to do for self-dev,"January 10, 2022",,,,
Yes,Look at NSERC emails,"January 10, 2022",,,,
Yes,Look into UPSWING poker and set a 30 day moneyback thing,"January 11, 2022",,,,
Yes,Msg Sky about shoes,"January 12, 2022",,,,
Yes,Call no frills about stock levels,"January 12, 2022",,,,
Yes,Go and make notes for this week & plan out notes for next week,"January 12, 2022",,,,
Yes,"213: 1, 2.1-2.3, 2.4.1-2.4.3","January 17, 2022",,,,
Yes,WRDS150: Reading 1 reflection,"January 18, 2022","January 19, 2022",,,
Yes,WRDS150: Reading response to article 1 → review answer and throw in the wikipedia link / citation,"January 18, 2022","January 19, 2022",,,
Yes,Create the disc server and come up with a “feature” list,"January 23, 2022",,,,
Yes,book rooms for the upcoming week and make the post on AC,"January 23, 2022",,,,
Yes,Make an order form for doing the event page orders to the medial chair,"January 23, 2022",,,,
Yes,306 Lectures from Jan 20,"January 24, 2022",,,,
Yes,303 Lectures from Jan 28 + pre lecture notes from #9,"January 24, 2022",,,,
Yes,Go through article 2 for 150 - & write out answer for q3,"January 25, 2022",,,,
Yes,"213 Labs 1 2 ","January 25, 2022",,,,
Yes,Call grandparents,"January 25, 2022",,,,
Yes,Update resume,"January 25, 2022",,,,
Yes,306 lab,"January 26, 2022","January 28, 2022",,,
Yes,MATH303: HW2,"January 26, 2022","January 28, 2022",,,
Yes,New business - discord for organizing instead of 70 different FB groups,"January 26, 2022",,,,
Yes,"Go buy groceries ","January 26, 2022",,,,
Yes,write out answer 3 to the on article 2,"January 28, 2022",,,,
Yes,Go over 213 1c readings,"January 31, 2022",,,,
Yes,"Get lit comp dates & what not sorted ","February 1, 2022",,,,
Yes,amine tickets,"February 2, 2022",,,,
Yes,Vacuum room & take down trash,"February 2, 2022",,,,
Yes,Make post about lit competition,"February 3, 2022",,,,
Yes,303 Lecture 2nd & video 11,"February 3, 2022",,,,
Yes,150 Article 3 Summary - editing,"February 8, 2022","February 8, 2022",,,
Yes,213 Quiz 2 - REDO,"February 8, 2022","February 8, 2022",,,
Yes,CPSC213: ASGN3,"February 8, 2022","February 8, 2022",,,
Yes,Group project 4,"February 12, 2022","February 13, 2022",,,
Yes,306 PC: Estimator Properties onwards,"February 13, 2022",,,,
Yes,303 Lecture Recordings 9th,"February 14, 2022",,,,
Yes,Msg entrepreneur course ppl,"February 14, 2022",,,,
Yes,"2131d reading ","February 15, 2022",,,,
Yes,Study for 213 Quiz,"February 15, 2022",,,,
Yes,Book eye appointment,"February 15, 2022",,,,
Yes,"Get Toma & Batts to sign me in and correct Logan's thing at meeting ","February 16, 2022",,,,
Yes,Figure out 150 research project - look again for sources / maybe hop on something else,"February 16, 2022",,,,
Yes,Email wrds 150 prof for confirmation of RQ,"February 21, 2022",,,,
Yes,Go over 213 material Monday to prep for assignment on Tuesday,"February 21, 2022",,,,
Yes,Set up lockdown app & ideal sleep schedule,"February 24, 2022",,,,
Yes,Pay res fees,"February 25, 2022",,,,
Yes,Email housing people begging for extension,"February 27, 2022",,,,
Yes,Study for the stats exam on Sunday,"February 27, 2022",,,,
Yes,213 Slides for e,"February 27, 2022",,,,
Yes,"Go over 213 labs & answers ","February 28, 2022",,,,
Yes,"Go over 303 Midterm ","February 28, 2022",,,,
Yes,"Review coop application ","March 2, 2022",,,,
Yes,Get covid test kits,"March 2, 2022",,,,
Yes,look into these stacks again,"March 3, 2022",,,,
Yes,"Start the next 213 assignment ","March 7, 2022",,,,
Yes,Move all notes and what not to google drive,"March 9, 2022",,,,
Yes,Send mum quest trade T4 and UBC T4 for taxes,"March 10, 2022",,,,
Yes,Review resume before sending it out to Ted,"March 10, 2022",,,,
Yes,"Put Monday's 303 notes into notes via Google drive ","March 10, 2022",,,,
Yes,get ted to review my resume,"March 10, 2022",,,,
Yes,Create Study Plan,"March 14, 2022",,,,
Yes,post housing offer in Gal Chat,"March 15, 2022",,,,
Yes,303 Go over starred ch5 problems and solutions,"March 16, 2022",,,,
Yes,303 - Review Chapter 5.3.3 and onwards & start of 6,"March 16, 2022",,,,
Yes,303 Solutions to practice midterm,"March 17, 2022",,,,
Yes,303: Questions for office hours on Friday?,"March 17, 2022",,,,
Yes,fix phone lock to only be on when I am at / around exchange,"March 18, 2022",,,,
Yes,150 Go over people’s presentations,"March 21, 2022",,,,
Yes,Review 2a for 213,"March 21, 2022",,,,
Yes,213 2b read over notes,"March 21, 2022",,,,
Yes,150 Article 6,"March 21, 2022",,,,
Yes,PLAN OUT STUDYING,"March 22, 2022",,,,
Yes,306 Review Transformations & Interactions pencasts,"March 25, 2022",,,,
Yes,"Book plane tickets ","March 26, 2022",,,,
