(Do Not Modify) Licence,(Do Not Modify) Modified On,(Do Not Modify) Row Checksum,Contact Email,Contact Phone Number,Establishment Address City,Establishment Address Postal Code,Establishment Address Street,Investigated / Applied Online,LG / IN,Licence Type,Licensee,Name,Notes,Website URL
ccc9f19f-4573-eb11-b81b-005056832755,"February 14, 2025 6:30 PM (PST)",YO9vaWbTKWl0VypfpWAQgI6b71yoxQxoPi+sseEgnuNVrmHim7TtMdkezdTQHsYj1/uebaUF9ZJodOwREqN0MA==,,,100 MILE HOUSE,V0K2E0,365 S CARIBOO HWY,No,100 Mile House,Liquor Primary,NIGHTS INN INC.,Jake?s Pub & Grill,,
cecdf19f-4573-eb11-b81b-005056832755,"March 6, 2025 11:35 PM (PST)",D+lgRPyqoRSHlXFEVS5qBd2ZxIIHDP1kxLy998rmUfy+kIe/ToB/LKWKD3qW9SkW5R3lBKpk2O9n7AqAlEvwTQ==,,,100 MILE HOUSE,V0K2E0,933 ALDER ST,No,100 Mile House,Liquor Primary Club,Royal Canadian Legion Branch 260,"ROYAL CANADIAN LEGION, BRANCH NO. 260 (037271)",,
56ccf19f-4573-eb11-b81b-005056832755,"January 30, 2025 8:34 PM (PST)",WDUau0zl+F0Hh2ZCenb5bDSenV/AhloUvkg2JbnaJD8maR/UHmthJpPI1qnii6zlstTXHDGSy6cL0peBqGQ6XA==,,,100 MILE HOUSE,V0K2E1,5512 Park Drive,No,Cariboo Regional District,Liquor Primary,Richard Donald Duncan,The Farrier (032116),,
56d7f19f-4573-eb11-b81b-005056832755,"December 2, 2024 10:41 PM (PST)",qfHkYcuI8xekIde7kUZ7It34KvBUSsMr67vhTB5MAZZFAbbWOcEIvc1HZEBYMyNpKCBCnR20b1PGquKSle22DA==,,,70 MILE HOUSE,V0K2K0,2424 Bonaparte Road,No,Thompson-Nicola Regional District,Liquor Primary,EDDY'S BAR & GRILL LIMITED,Eddy's Bar & Grill (159240),,
50c7f19f-4573-eb11-b81b-005056832755,"May 15, 2025 1:10 AM (PDT)",EX47FMRsnnX7YtZkSm9+/s6L4TJca6V69S/hBCEo3nbzvv+CHuOELIn4wWQxrv2/8sDVsbN9R2qcypiWEygQwA==,,,ABBOTSFORD,V2T5T6,3058 Gladwin Road,No,Abbotsford (City of),Liquor Primary,Trading Post Brewing Corporation,Abbotsford (308166),,
bd482c5c-fe30-ec11-b82e-005056838fcd,"February 28, 2025 8:07 PM (PST)",svcUUrPaSrsEOJIV8BeIU9xQZinvkE4srclJURqK5703poPkJHs3M70ALtcNLCxpcoxhsUHw7+Ahq11Qns3DNA==,,,ABBOTSFORD,V2S1X2,33738 Laurel Street,No,Abbotsford (City of),Liquor Primary,Artisans Ales Limited Partnership,Old Yale Brewing Craft Brewery & Kitchen,,
46cef19f-4573-eb11-b81b-005056832755,"May 28, 2025 10:18 PM (PDT)",ruFSqcnn9hR+1f1YokwXDM0OH4voeKWXZYANIO6cF45FltQteTfOF04+NGQzs1J/7qFO8m+yh6UkpuJs79bUNA==,,,ABBOTSFORD,V4X1T3,3010 Mt. Lehman Road,No,Abbotsford (City of),Liquor Primary,Northland Properties Corporation,Bar One (307775),,
40c7f19f-4573-eb11-b81b-005056832755,"January 27, 2025 11:20 PM (PST)",yKwxyJQ2ATfplYdsi9bKHZYYBWOog6IlOw3zESnXZzIkJ0lM5cdYHhg9iuP6QaHFbsd83B8yyCyPWdrfeBecsg==,,,ABBOTSFORD,V4X1M3,3122 Station Rd.,No,Abbotsford (City of),Liquor Primary,D T R Ventures Ltd.,Station House Bar & Grill (303798),,
40d3f19f-4573-eb11-b81b-005056832755,"June 1, 2025 3:15 AM (PDT)",GL9l9ASruKFn/LKJjkjDaqaAA0nJ0ZPQ6Y/R10eZrR7qgMaQBdgmfLLA180UGXAWhIQiLhmGPyxIJ4yhmhflAA==,,,ABBOTSFORD,V2T6H5,"Unit #13, #5 - 30440 Liberator Ave ",No,Abbotsford (City of),Liquor Primary,Air-A-Fare Food Services Inc.,Ravens Bistro and Bar (303168),,
1e7dd2c1-9673-eb11-b81b-005056832174,"May 8, 2025 7:30 PM (PDT)",+KyqJ4TuexOCS1uyXBsMVmB51NAuEAWJ1J9gVMhOetdJRvcUz2oj41woS1eGNCoglvMQNt7T5dPGYSytsVjSng==,,,ABBOTSFORD,V3G2K4,36036 South Parallel Rd,No,Abbotsford (City of),Liquor Primary,Meadowlands Golf & Country Club Holdings Ltd.,Fraserglen Golf Course & Training Centre  (210405),,
8ac9f19f-4573-eb11-b81b-005056832755,"March 10, 2025 5:00 PM (PDT)",GWEwlDxKvIUhaJEOsP67FBpqJTK8kIJsQbjFW8AfQX7b0yXsVOXsBwnqqUSXeeKKSiQTdXY9r5hKgy21ZULWyQ==,,,ABBOTSFORD,V2S2H4,33868 ESSENDENE AVE,No,Abbotsford (City of),Liquor Primary Club,ABBOTSFORD AERIE #2726 FRATERNAL ORDER OF EAGLES,"FRATERNAL ORDER OF EAGLES, AERIE NO. 2726 (081431)",,
d1c2482a-8f73-eb11-b81b-005056832174,"May 28, 2025 11:25 PM (PDT)",ViNQRNZMIowqJJatYvwTeDckxhhfvWru/IobJYidQQghOxjVoFA0734xvrAyM4o4NeDKsX3Caj1JOk6PSr3QBg==,,,ABBOTSFORD,V2T4S2,32470 SIMON AVE,No,Abbotsford (City of),Liquor Primary,Otter Farm & Home Co-Operative,HIGHWAYMAN PUB,,
274cdabb-9673-eb11-b81b-005056832174,"December 8, 2024 6:28 PM (PST)",zxYynVFUo8UfmGJDCTBxay0yyAz4JATCSEX3NKqD6S5Ey/4WeBIdtXQVZHmrOTJUGDIjpenmes2yvGsz99DhXQ==,,,ABBOTSFORD,V2S2E5,2513 West Railway St,No,Abbotsford (City of),Liquor Primary Club,R.C.L. # 15,"Royal Canadian Legion, Branch No. 15 (114880)",,
22c9f19f-4573-eb11-b81b-005056832755,"April 22, 2025 2:32 AM (PDT)",wNWuacsqkwgxrpA9ghN4CkoYWd+I5T3p3WC6b7QRo5IOheyzbztN92rNeEar+dlF8Z8SmY1LlNwCjXr4/cGXgA==,,,Agassiz,V0M1A0,7215 Pioneer Ave,No,Kent,Liquor Primary,1086082 B.C. LTD.,Sossy's Saloon,,
ead6f19f-4573-eb11-b81b-005056832755,"June 1, 2025 3:31 AM (PDT)",QI0cMqXbZ9csnT5dOK4w5TBqPZMBLM3s+PEBHzL7NXJUnOXLu4/07R78SC1kcGKj9eIq5apRQE4BM/6Qn8poBw==,,,ABBOTSFORD,V2S2C2,33720 South Fraser Way,No,Abbotsford (City of),Liquor Primary,WONG JRG VENTURES  (ABBOTSFORD) LTD.,The Tipsy Barrel Pub,,
bcd6f19f-4573-eb11-b81b-005056832755,"November 5, 2024 10:50 PM (PST)",4UP1af8syW5tpQN/XOpFwP1XOCaQVcnDL0qIxFzEn9G3MMPESUf6jknSYVyVK5NlnOsDcSRahbASbpWRMT/Trg==,,,Agassiz,V0M1A2,7984 McDonald Road,No,Kent,Liquor Primary,1486504 B.C. LTD.,Fraser River Lodge (306654),,
6d4bdabb-9673-eb11-b81b-005056832174,"December 12, 2024 2:42 PM (PST)",9qrdnybuVl1BIrn6HLK7Q1UovqcT5RYRDDhFVsI59o1HokLzrUfwM6ua2nOtNgmu4WAZsPx1bJ78ZpZYG3xx6w==,,,AINSWORTH HOT SPRINGS,V0G1A0,4112 Hwy 31,No,Central Kootenay Regional District,Liquor Primary,JONES BOYS DEVELOPMENTS LTD.,J.B.'S PUB (102434),,
447dd2c1-9673-eb11-b81b-005056832174,"May 2, 2025 5:42 PM (PDT)",wPvjmWYEs6T/MMZvGyHVcwcg2Q4PeQpKU2Hjzq7NZ9lGLjjmvxSwzqX+WfKw33tilijtCH8TRQnJEUCi0yIauA==,,,Agassiz,V0M1A1,20955 Hemlock Valley Road,No,Kent,Liquor Primary,Hemlock Limited Partnership,Hemlock Pub (030936),,
d8caf19f-4573-eb11-b81b-005056832755,"May 12, 2025 1:52 AM (PDT)",i3O3aFgIruIV/CjZIdKSEhFx51/HCmO00rzO8oq1s6pS+XiPhV9P1GUI17XIedzs4yDEbxRvRokF8QLz48DUQA==,,,Agassiz,V0M1A0,1846 9 HWY,No,Kent,Liquor Primary,"ROYAL CANADIAN LEGION, BRANCH NO. 32","ROYAL CANADIAN LEGION, BRANCH NO.  32 (034312)",,
c0d7f19f-4573-eb11-b81b-005056832755,"April 2, 2025 6:46 PM (PDT)",abxAcEPxEIo3EcpU4sF8dRfGU/3iyKafaXbEke9LqKjRDM5kVEB9JXUz9kq5z1vpfyO4DRn1YQkUw6zyhjqlRQ==,,,ALDERGROVE,V4W2T7,26607 Fraser Hwy,No,Langley - City,Liquor Primary Club,ROYAL CANADIAN LEGION BRANCH #265 - ALDERGROVE,"ROYAL CANADIAN LEGION, BRANCH NO. 265 (098533)",,
d0d6f19f-4573-eb11-b81b-005056832755,"April 1, 2025 6:04 PM (PDT)",v8ZhBBLUAkotGZs2WPQcK2UF21IJ9EPca6Zkbt4/FX15wTy7iG9pG1NJrLJt7kFc14TLMK56NU4v2SDrgaJ3LA==,,,ALDERGROVE,V4W2B3,3834 248 Street,No,Langley - City,Liquor Primary,Poppy Estate Golf Course Ltd.,Poppy Estate Golf Course (306876),,
c6cdf19f-4573-eb11-b81b-005056832755,"February 25, 2025 2:32 AM (PST)",NdVrhXF3cS/U7VWOPjEZd1G901PFMjAcLeM+WPKpscq/MNS9SP7ar9KQ9lcmshNOYEmGY5ddD7q0lKs3CZ0d3g==,,,ALDERGROVE,V4W3E8,26444  32 Ave,No,Langley - City,Liquor Primary,Fox & Hounds Pub Ltd.,FOX & HOUNDS NEIGHBOURHOOD PUB (032205),,
28cef19f-4573-eb11-b81b-005056832755,"August 2, 2024 4:00 PM (PDT)",CnmWIAQghLS+UFnk41weFrYAtBwq9W8G0O8+JiUD8eC771lvfYk4fdNbXMG24fd2vKttljHmkFaeOlnI/C3uIQ==,,,ALERT BAY,V0N1A0,287 291 Fir Street,No,Alert Bay,Liquor Primary,1134894 B.C. LTD.,Orca Inn Pub (124327),,
c6d2f19f-4573-eb11-b81b-005056832755,"April 10, 2025 10:49 PM (PDT)",Pf7puMXhic9g1Z7sXBtZthcDIvRXcUECbVPOMb8jh1zGYZQDM29zVQYlMW0ihhVfd5rW4v1KFpQ6OdMWOF9gPw==,,,ARMSTRONG,V0E1B0,2526 Pleasant Valley Blvd,No,Armstrong,Liquor Primary Club,Royal Canadian Legion Br 35,"Royal Canadian Legion, Branch No. 35",,
1cd2f19f-4573-eb11-b81b-005056832755,"August 12, 2024 11:00 PM (PDT)",JjLJeGrI5xxsb5oTmOu918/iU8idLZglB/Bl4VdEpqk0WuqTgDlqNg5Q41pEZPy6MUsS2BJi+AUgUEZDxe/4Gw==,,,ALERT BAY,V0N1A0,BOX 238 79 Maple Rd,No,Alert Bay,Liquor Primary Club,"Royal Canadian Legion, Branch No. 198","ROYAL CANADIAN LEGION, BRANCH NO. 198 (078035)",,
c6ccf19f-4573-eb11-b81b-005056832755,"May 21, 2025 3:56 AM (PDT)",fvwGasCYR61A3ntWWG/RmBhT2l4Zc9sUBXbl/iSCg1MKWELAIk0lC3YxNnlk2UdcSfA+a2PKXVmN5HRXh/oisw==,,,ARMSTRONG,V0E1B0,3445 Okanagan Street,No,Armstrong,Liquor Primary,1453101 B.C. LTD.,Branding Iron Pub,,
f4cbf19f-4573-eb11-b81b-005056832755,"May 26, 2025 4:13 PM (PDT)",qJx1FPoo69v3dk4N7ufe8/mQnQRBYBmxfMFzQHY1pTkYFLlzuqxJ82zr7fbUk3CbEcST4CZQEI4Ns+Ah2wSPZw==,,,ASHCROFT,V0K1A0,301 Brink St,No,Ashcroft,Liquor Primary Club,Royal Canadian Legion Branch #113 - Ashcroft,"ROYAL CANADIAN LEGION, BRANCH NO. 113 (002233)",,
df576f4e-bdc4-ec11-b832-005056836bf0,"March 6, 2025 12:00 AM (PST)",PTpAuXDxGpQ85bQCHsJ0rojt6xgmFC/NO/3Fn5Kz7DL5DJy3we4hBbcL6d24HTi27GSi90lEfF+YKtDHpfMV5A==,,,Atlin,V0W1A0,39 Lake Street,No,Kitimat-Stikine Regional District,Liquor Primary,ATLIN ADVENTURES INC.,Discovery Saloon,,
94d3f19f-4573-eb11-b81b-005056832755,"December 2, 2024 10:41 PM (PST)",+PSMTprlqkJzFC54QwlQdfzoSLsDNaqmYLm0v5QzVdtOfw1Qk7LflqQwY7Oe2t1XBlpRrhOtYX1pcMYLnzIWQQ==,,,AVOLA,V0E1C0,6376 Village road,No,Thompson-Nicola Regional District,Liquor Primary,"MEIDINGER, LARRY DUANE",LOG INN (039070),,
ead1f19f-4573-eb11-b81b-005056832755,"November 29, 2024 5:01 PM (PST)",nwlYhYtEw/CQSsS8TN17yzhRSO/D7kqM9Lrlbg//rTjNZo41oTTAsn4xocndiKYF61deY6YTBW/X8/AN16i53A==,,,BAMFIELD,V0R1B0,226 Frigate Rd.,No,Alberni-Clayoquot Regional District,Liquor Primary,HFN Hospitality Corporation,Hawk's Nest Pub (129860),,
42d7f19f-4573-eb11-b81b-005056832755,"November 4, 2024 7:00 PM (PST)",28U4D1xmUzfnecEx2TKotJNCnd23hNvPrVl+3+csOXFApt/OQo0OxYQ8QeR8PrcDniNT41C7TcTS0rSqi/dejQ==,,,BALFOUR,V0G1C0,602 Queens Bay Road,No,Central Kootenay Regional District,Liquor Primary,BALFOUR RECREATION COMMISSION,BALFOUR GOLF & COUNTRY CLUB (136348),,
6ccdf19f-4573-eb11-b81b-005056832755,"May 10, 2025 1:10 AM (PDT)",Ui8F6BGfw9qwidCwtaAi4CLtVbp9u2o88ueHfegosZlNviNNqh3DUZUxygBo3kE+w+TIVEmj3lYWWrsooIne3w==,,,BARRIERE,V0E1E0,4347 YELLOWHEAD HWY,No,Thompson-Nicola Regional District,Liquor Primary,BARRIERE MOTOR INN (1983) LTD.,BARRIERE MOTOR INN (011269),,
76d3f19f-4573-eb11-b81b-005056832755,"October 22, 2024 10:00 PM (PDT)",KFl/OhY3/k2XaRDk3BA9VyvrqjA6u5CcDzA8XYXnet2iq5svEmqV7Dki8FTPPpJ0WeZ8b97MtB5ce7DzcleDuQ==,,,BIG LAKE,V0L1G0,4213 Likely Hwy,No,Cariboo Regional District,Liquor Primary,639726 B.C. LTD.,BIG LAKE PUB (140642),,
5b4bdabb-9673-eb11-b81b-005056832174,"May 23, 2025 4:49 PM (PDT)",JyOfecVK9AUwKx2IgQIIY1WkygDyPMqlgA2/F3hqUPd9JhEtTH6uNJq7G/b3+P4Scg3oBH1didte237jKIk+Vw==,,,BARRIERE,V0E1E0,4673 Shaver Rd.,No,Thompson-Nicola Regional District,Liquor Primary Club,ROYAL CANADIAN LEGION BR 242,"ROYAL CANADIAN LEGION, BRANCH NO. 242 (034511)",,
5ec8f19f-4573-eb11-b81b-005056832755,"April 8, 2025 7:13 PM (PDT)",95dIK+T2Qhgv4K74W4bJD9V92M8EEmF+5LPJv8Hvbaoqi5vaK5DdIXHDuud8/QPPblvtELr22tPhK4tlDbFjUA==,,,BIG WHITE,V1X4K5,5375 Big White Rd,No,Regional District of Kootenay Boundary,Liquor Primary,ANCHOR HOSPITALITY GROUP INC.,Globe Cafe & Tapas Bar (158838),,
b4d4f19f-4573-eb11-b81b-005056832755,"April 11, 2025 5:27 PM (PDT)",bReT6zvWrd0FXze/TZEUkKjWhmKbbOlLfkCbfI7RyNvHbAec7irp4BIcBRzuJGgY2IkYuhDxODL5Kq0Ey8gHCQ==,,,BIG WHITE,V1X4K5,5375 Big White Road Big White Mountain,No,Regional District of Kootenay Boundary,Liquor Primary,101 WOLVERINE ENTERPRISES INC.,SNOWSHOE SAM'S (129241),,
80caf19f-4573-eb11-b81b-005056832755,"April 15, 2025 4:11 PM (PDT)",c9DolLMzGsghGU+K3ib6kg1xzT8xzM4LZj7xyU6YVFnx1h3k+9aEL5B+huVuDlEKuu+2UmrP21mN74CxvYT1jw==,,,BOWEN ISLAND,V0N1G0,Snug Cove,No,Bowen Island Municipality,Liquor Primary,Doc's Restaurant & Pub Ltd.,Doc's Restaurant & Pub (142126),,
28ccf19f-4573-eb11-b81b-005056832755,"December 2, 2024 10:41 PM (PST)",z/EutMOn2Jw27UBpWKGo/SHW81OEqpa+P6K7XCynfyc+0DtBp8IwN8nM0bG3iISIzbSl056Y7Ddo7/xh9c4row==,,,BLUE RIVER,V0E1J0,817 Pine Street,No,Thompson-Nicola Regional District,Liquor Primary Club,The Royal Canadian Legion # 213,"ROYAL CANADIAN LEGION, BRANCH NO. 213 (004430)",,
b0d0f19f-4573-eb11-b81b-005056832755,"June 4, 2025 1:41 AM (PDT)",ykDzxUQPUsbBeoKkvLTU71kkA3BI6GKGIywJMegWxaGUQ26Vl96pq0PcKJa++Lh68yNTQ1YAjjgmEUk51S/Qjg==,,,BOSTON BAR,V0K1C0,50865 Trans Canada Hwy,No,Fraser Valley Regional District,Liquor Primary,WESTEND TECH LTD.,Fat Jack's Pub (306543),,
04c9f19f-4573-eb11-b81b-005056832755,"August 26, 2024 5:00 AM (PDT)",Z3f9w/x0jPKBVTlw+GLdluucl46VottEhkyXpCqrEa7Bhl5kKYKJUN9sN8Kd3lv67xMlLho0UrzwaiRMghY+NA==,,,BOWSER,V0R1G0,7035 Island Hwy W,No,Nanaimo Regional District,Liquor Primary Club,R.C.L. # 211,"ROYAL CANADIAN LEGION, BRANCH NO. 211 (034470)",,
5ed2f19f-4573-eb11-b81b-005056832755,"August 2, 2024 5:00 PM (PDT)",WkI/V2GyOnqkGmyJKN42uNUFGnV/k+Io0dgx2XOJnZlwVxluCzzBULbDfbwEXM6DC3I2oUuzsQQH7J7s73TcwQ==,,,BOWEN ISLAND,V0N1G0,1267 Scarborough Road,No,Metro Vancouver Regional District,Liquor Primary Club,"Royal Canadian Legion, Branch No. 150","ROYAL CANADIAN LEGION, BRANCH NO. 150 (013837)",,
84d4f19f-4573-eb11-b81b-005056832755,"March 20, 2025 6:43 PM (PDT)",0+nk1ca04gL1BHxxAKXPQdFVJ7rqjVgqEsl9czd5RnIT0KiQsmIQQdWXV9cJzshZKe0nNoqI3x66Ww4PP5N+uQ==,,,BOWEN ISLAND,V0N1G1,479 Bowen Island Trunk Rd,No,Bowen Island Municipality,Liquor Primary,Acsis Entertainment and Hospitality MNGMT. Ltd.,Bowen Island Pub,,
61ba5fe7-9173-eb11-b81b-005056832174,"May 26, 2025 12:28 AM (PDT)",ZEi4LlbgWoiWaApFstUtnrDTKaX2129WFUkiksGY477cSx5bMfdu68JeJ5c6gUW0n10NAppATyfZBDJzhANe9Q==,,,BRENTWOOD BAY,V8M1G9,7100 Wallace Dr,No,Central Saanich,Liquor Primary,1194658 B.C. LTD.,Brentwood Bay Brewskys Taphouse (162624),,
99bb5fe7-9173-eb11-b81b-005056832174,"May 26, 2025 12:50 AM (PDT)",Y3C3Rq93f6QpySe0O8Nthr21OYXAiYTgQsHHDTx6jrpZGBK/zK3XRSJTdW16wzliRxHIZ/EZTjykSKKmCP93Sg==,,,BRENTWOOD BAY,V8M1C5,849 Verdier Avenue,No,Central Saanich,Liquor Primary,TIMES UNIVERSAL VICTORIA HOLDINGS LIMITED,Brentwood Bay Lodge (101080),,
d54bdabb-9673-eb11-b81b-005056832174,"November 5, 2024 5:00 PM (PST)",JJDb4ncrORVLMY4z4jh1WFqsBBbtZzesXD1wQJT4tFhCRIv9KVskty5BiaXL6Gs9JwGhvpN/NY26d5w1bdfxIA==,,,BULL RIVER,V0B1T0,4569 Wardner Fort Steele Road,No,East Kootenay Regional District,Liquor Primary,0809279 B.C. LTD.,Bull River Inn 2003 (033408),,
574cdabb-9673-eb11-b81b-005056832174,"May 13, 2025 11:39 PM (PDT)",sJsYd7AAlPEvgIR8TZERRui82ySfysYOooe7HIlSpwZjVPvmImksWCJd4ApGv+cNnS/OWac2RisH2YbEnCpvuQ==,,,BURNABY,V5G1C7,4331 Dominion Street,No,City of Burnaby,Liquor Primary,Gateway Casinos & Entertainment Limited.,Personas (Grand Villa Casino) (308283),,
47b9f385-d3bf-eb11-b829-005056836bf0,"May 15, 2025 1:45 AM (PDT)",Vc6uY5+HslN9fUo4nMcmmTNBVsUyJaLDWMeKV6L8oWMRAJAEKquZGE7nwjpITmr+DVLYq7k2XzHz8jU/QDuxmw==,,,BURNABY,V5H3Z6,Unit B- 6681 Macpherson Avenue,No,City of Burnaby,Liquor Primary,1200736 B.C. LTD.,V-Show Karaoke,,
d5986ccb-2a75-eb11-b81b-005056832174,"May 15, 2025 8:18 PM (PDT)",e3BRV1O10JQb1ww4VExtGu0M3i8uJ5n3I2zA9FY2TnOcYNuigm/jPONiivPsHCkzkOBqAktyilsX+sSlCXw4bw==,,,BURNABY,V5C0K3,"Unit 21-06, 1920 Willingdon Avenue",No,City of Burnaby,Liquor Primary,CINEPLEX ENTERTAINMENT LIMITED PARTNERSHIP,The Rec Room,,
6ac8f19f-4573-eb11-b81b-005056832755,"January 5, 2025 9:00 PM (PST)",NqvBFPqPVgCghHfAH1D0+WdMrovcLhSos0Dg4RWOh1pYvrnlPPsSY3W+cXgu9qGIv/IhPl6XSeOthpl/RxE4rQ==,,,BURNABY,V5J1E5,5455 Imperial Street,No,City of Burnaby,Liquor Primary Club,Portuguese Cultural Centre of B.C.,Portuguese Cultural Centre (302377),,
8eccf19f-4573-eb11-b81b-005056832755,"May 30, 2025 6:34 AM (PDT)",H5cNcGYpF/dpuS9EOhIEdHoYWzLmpgevqSgOgUJzUpJfODlZUdGuxgYX/gLVnWSuGdhJNGrHej1VknrCxXcTpw==,,,BURNABY,V5C3Z1,109-1899 Rosser Ave,No,City of Burnaby,Liquor Primary,JOEYS RESTAURANT (BURNABY) INC.,Joey Burnaby Grill Lounge (212994),,
4ec7f19f-4573-eb11-b81b-005056832755,"May 30, 2025 6:26 PM (PDT)",jp4fUq0sILIMstkddqaK+yPgOKChBw/lSC2yDavbiDkghVXaO3SEt0HoLHINSRJ+BdepD8rpn0PBY7kw9teFkw==,,,BURNABY,V5J5J3,9001 Bill Fox Way,No,City of Burnaby,Liquor Primary,City Of Burnaby,Riverway Golf Course (305475),,
c4c8f19f-4573-eb11-b81b-005056832755,"January 31, 2025 8:19 PM (PST)",LcwZ7FEHNMVjg9Q/ulymIBJ1p92ziwiJVFiZ2sIwSFuExBquE7A5nnBdQ9vleNkfwo8CmIwq3P9svE389by39Q==,,,BURNABY,V5B4Z6,3676 KENSINGTON AVE,No,City of Burnaby,Liquor Primary,City Of Burnaby,BILL COPELAND SPORTS CENTRE (186190),,
6cd5f19f-4573-eb11-b81b-005056832755,"June 2, 2025 8:18 PM (PDT)",bn/Pklhm2QWQrEcBt0oobUDxtFh4HuHuGvM0/gpJBHd5Yn59KvFykEuJup480ikc+QdTm9jjZtBIYgeF/XOcXg==,,,BURNABY,V5H2W7,6083 MCKAY AVENUE,No,City of Burnaby,Liquor Primary,0769167 B.C. LTD.,HILTON VANCOUVER METROTOWN (208821),,
20cbf19f-4573-eb11-b81b-005056832755,"May 1, 2025 6:45 PM (PDT)",2b0JxVGSOm+W3XHCQigC0o4dhoF5w0MVc7huL1GiHnPqbXZFQVgJckRoRDDQZ8D2qQ0H90lq1GEDLa+JwkRToA==,,,BURNABY,V5G4H7,3883 Imperial Street Boundary & Kingsway,No,City of Burnaby,Liquor Primary,City Of Burnaby,SWANGARD STADIUM (135779),,
14d7f19f-4573-eb11-b81b-005056832755,"June 2, 2025 8:22 PM (PDT)",PNsNbvkyw0sSg0MwhAljkJLcd+AZ4YYlUibwjx+uc7I1d7wrrbjVjXx1lJIWphVxEobeesuNkBL2gn9ADCrIdg==,,,BURNABY,V5H4M3,4405 Central Blvd,No,City of Burnaby,Liquor Primary,ANTHEM METROTOWN HOTEL LIMITED PARTNERSHIP,Metrotown (129131),,
d2d2f19f-4573-eb11-b81b-005056832755,"June 2, 2025 3:22 PM (PDT)",Py/KSl06wyCd2i3GqWgooZ+wR/8GtbAR7mlQvWftM00OSOBh61uopO1tk60biU6XvhWTmmieI4ZJbV21QAqSyA==,,,BURNABY,V5A4M8,7600 HALIFAX ST,No,City of Burnaby,Liquor Primary,City Of Burnaby,EAGLE CREEK AT BURNABY MOUNTAIN,,
62d7f19f-4573-eb11-b81b-005056832755,"May 28, 2025 12:28 AM (PDT)",JUmwaHWG5Q/ms6N4CnIMxgqPEue7P4VKn/uOC6Hp8ugctsW5tleMfxnQpYYoEIuwqennx92a5uMAeQQheakn/g==,,,BURNABY,V5E1E4,6879 Kingsway,No,City of Burnaby,Liquor Primary,WINGS TAP AND GRILL KINGSWAY LTD.,Wings Tap & Grill Kingsway (129058),,
becef19f-4573-eb11-b81b-005056832755,"April 4, 2025 8:44 PM (PDT)",V1HaqJSKEUxDGVgO2PrSGGmhN8JbWO+W9LAd1nrafo5WXYdQOdu7yp8Dg2aVsjeU7tlRqgojY4AZCy7XwuCchw==,,,BURNABY,V5G2J3,6450 DEER LAKE AVE,No,City of Burnaby,Liquor Primary,City Of Burnaby,JAMES COWAN THEATRE (038411),,
3cd3f19f-4573-eb11-b81b-005056832755,"May 23, 2025 9:33 PM (PDT)",RB7YI0jBKGCkE3KuvZSu33B0uYBVB2gOMzCv617T2ODFr4pK6sjoCwED3cU/HNsiOdJ4jMQj5Xau+Z8Ycq/MgA==,,,BURNABY,V5H2H3,5289 Grimmer Street,No,City of Burnaby,Liquor Primary Club,Royal Canadian Legion Br#83,"Royal Canadian Legion, Branch No. 83 (053031)",,
94caf19f-4573-eb11-b81b-005056832755,"January 29, 2025 11:15 PM (PST)",DERlwfTLjMPvIBA9J+9it+IAj4n3vsxj6gfU7K6S+wv8Sn6I4x3sfKMne+T3GVmjCEwzOqCvYtZnpmkve55D+w==,,,BURNABY,V5A1S6,8888 University Dr,No,City of Burnaby,Liquor Primary,Simon Fraser University,Simon Fraser University,,
cd4bdabb-9673-eb11-b81b-005056832174,"January 29, 2025 11:22 PM (PST)",/Q2cDBydTAfdYRasofpBn0n7icoJI+vFudSedQMDhQtzFQ7LOAUcgi3gO1ks4kpiKtjQDHqlsmUa2zL17wMjOQ==,,,BURNABY,V5A1S6,MBC 2250 SIMON FRASER UNIVERSITY,No,City of Burnaby,Liquor Primary,Simon Fraser University,Burnaby (034621),,
a67dd2c1-9673-eb11-b81b-005056832174,"June 2, 2025 3:25 PM (PDT)",e/yIk1c9+WBtFQKqZswSxg1GqoIV68wW3Fj3XLOwUdU53V87mlwkO5Z9hwUqZiMD68Nff4f3Osgw29Nuvro+Ew==,,,BURNABY,V5C2J3,4125 E Hastings St,No,City of Burnaby,Liquor Primary,Stylo Development Ltd.,Admiral Pub & Grill (021083),,
714bdabb-9673-eb11-b81b-005056832174,"April 8, 2025 11:29 PM (PDT)",0k7RHjep/nOcrzHlBOgUV4Gk4GVBF9A0gWib/dncTE5C4zDEobAGR3GbkKcmLWgpTOR4JP2Q3/qsFIeQVgOmug==,,,BURNABY,V5A4H1,9 1601 BURNWOOD DR,No,City of Burnaby,Liquor Primary,McPherson & Dempsey Ltd.,Hop & Vine Neighbourhood Pub (033759),,
2d4cdabb-9673-eb11-b81b-005056832174,"May 28, 2025 10:52 PM (PDT)",3OyIHTf8tVtc1J5umoBXYzNBNUDixZlEXdF9kSOsRMJtb/wW1Wv6jsPg8xmh4r5Zz+7nLaB89f2kF4eVkxTDeQ==,,,BURNS LAKE,V0J1E0,164 Hwy 16,No,Burns Lake (Village of),Liquor Primary,1204077 B.C. LTD.,The Office Pub & Grill (115333),,
